Date,CPI Index 2015 = 100,CPI_Percentage_Change,Violent Crimes,Total
Dec-10,91.7,0.88009,11850,93141
Jan-11,91.8,0.10905,12622,99862
Feb-11,92.3,0.54466,11918,94942
Mar-11,92.6,0.32503,13093,105728
Apr-11,93.3,0.75594,13359,107805
May-11,93.5,0.21436,13598,113296
Jun-11,93.5,0,13522,109948
Jul-11,93.5,0,13767,113113
Aug-11,93.9,0.42781,12727,109747
Sep-11,94.5,0.63898,11112,92081
Oct-11,94.5,0,11666,102003
Nov-11,94.7,0.21164,11140,96323
Dec-11,95,0.31679,10406,87623
Jan-12,94.7,-0.31579,10607,91654
Feb-12,95.2,0.52798,9838,85738
Mar-12,95.4,0.21008,11593,102260
Apr-12,95.9,0.52411,10861,90935
May-12,95.9,0,12324,101147
Jun-12,95.6,-0.31283,11744,97870
Jul-12,95.7,0.1046,12186,101424
Aug-12,96.1,0.41797,12414,103718
Sep-12,96.4,0.31217,11125,90320
Oct-12,96.8,0.41494,11501,94959
Nov-12,97,0.20661,11093,89186
Dec-12,97.3,0.30928,11101,82082
Jan-13,97,-0.30832,10491,83805
Feb-13,97.5,0.51546,9301,75899
Mar-13,97.8,0.30769,10611,80021
Apr-13,98,0.2045,11194,83397
May-13,98.2,0.20408,11192,82909
Jun-13,98,-0.20367,11286,84765
Jul-13,98,0,12541,95758
Aug-13,98.4,0.40816,11308,87220
Sep-13,98.7,0.30488,10884,78446
Oct-13,98.8,0.10132,11614,86641
Nov-13,98.8,0,11652,81294
Dec-13,99.2,0.40486,11825,74834
Jan-14,98.7,-0.50403,11790,75234
Feb-14,99.1,0.40527,11116,69756
Mar-14,99.3,0.20182,13114,79803
Apr-14,99.6,0.30211,12227,75134
May-14,99.6,0,13539,79434
Jun-14,99.8,0.2008,14700,82044
Jul-14,99.6,-0.2004,15434,87363
Aug-14,99.9,0.3012,13974,79292
Sep-14,100,0.1001,14638,80141
Oct-14,100.1,0.1,15214,82977
Nov-14,99.9,-0.1998,15292,79053
Dec-14,99.9,0,14616,73525
Jan-15,99.2,-0.7007,14581,72552
Feb-15,99.5,0.30242,13765,68435
Mar-15,99.6,0.1005,15761,77882
Apr-15,99.9,0.3012,13612,74586
May-15,100.1,0.2002,15134,79906
Jun-15,100.1,0,16665,82852
Jul-15,100,-0.0999,17526,85992
Aug-15,100.3,0.3,16252,80819
Sep-15,100.2,-0.0997,16063,76470
Oct-15,100.3,0.0998,17506,83911
Nov-15,100.3,0,17093,81159
Dec-15,100.4,0.0997,16995,77412
Jan-16,99.9,-0.49801,16435,74136
Feb-16,100.1,0.2002,15725,72581
Mar-16,100.4,0.2997,16813,76315
Apr-16,100.6,0.1992,16354,76539
May-16,100.8,0.19881,18144,86398
Jun-16,101,0.19841,17606,85208
Jul-16,100.9,-0.09901,18317,93025
Aug-16,101.2,0.29732,16848,89412
Sep-16,101.5,0.29644,16717,84469
Oct-16,101.6,0.09852,17075,87374
Nov-16,101.8,0.19685,16319,81205
Dec-16,102.2,0.39293,16867,81609
Jan-17,101.8,-0.39139,15988,77977
Feb-17,102.4,0.58939,15679,75030
Mar-17,102.7,0.29297,18567,88631
Apr-17,103.2,0.48685,16359,82054
May-17,103.5,0.2907,18803,90408
Jun-17,103.5,0,19297,88426
Jul-17,103.5,0,19594,95569
Aug-17,104,0.48309,17424,91270
Sep-17,104.3,0.28846,17583,85458
Oct-17,104.4,0.09588,18860,91571
Nov-17,104.7,0.28736,18175,87442
Dec-17,105,0.28653,17283,80240
Jan-18,104.5,-0.47619,17494,83897
Feb-18,104.9,0.38278,15859,75572
Mar-18,105.1,0.19066,18346,82303
Apr-18,105.5,0.38059,17806,85919
May-18,105.9,0.37915,20206,88946
Jun-18,105.9,0,20195,89038
Jul-18,105.9,0,21808,95238
Aug-18,106.5,0.56657,18403,88259
Sep-18,106.6,0.0939,18621,85880
Oct-18,106.7,0.09381,19219,95702
Nov-18,106.9,0.18744,18736,91460
Dec-18,107.1,0.18709,18476,86889
Jan-19,106.4,-0.65359,18176,88245
Feb-19,106.8,0.37594,17437,86244
Mar-19,107,0.18727,19608,96446
Apr-19,107.6,0.56075,18067,91177
May-19,107.9,0.27881,19451,95203
Jun-19,107.9,0,19805,95928
Jul-19,108,0.09268,20661,99140
Aug-19,108.3,0.27778,18401,91246
Sep-19,108.4,0.09234,18638,86917
Oct-19,108.3,-0.09225,19143,96051
Nov-19,108.5,0.18467,18872,91211
Dec-19,108.5,0,18080,86299
Jan-20,108.3,-0.18433,18416,91153
Feb-20,108.6,0.27701,17860,87024
Mar-20,108.6,0,18294,87215
Apr-20,108.6,0,15612,109917
May-20,108.6,0,18032,113824
Jun-20,108.8,0.18416,19531,100056
Jul-20,109.2,0.36765,20878,103547
Aug-20,108.8,-0.3663,21185,104703
Sep-20,109.2,0.36765,20227,99475
Oct-20,109.2,0,19475,99458
Nov-20,109.1,-0.09158,18907,97200
Dec-20,109.4,0.27498,17788,88263
Jan-21,109.3,-0.09141,16181,85111
Feb-21,109.4,0.09149,16064,79787
Mar-21,109.7,0.27422,19859,91093
Apr-21,110.4,0.6381,19190,86546
May-21,111,0.54348,21790,91443
Jun-21,111.4,0.36036,21958,94738
Jul-21,111.4,0,22342,94139
Aug-21,112.1,0.62837,19724,87999
Sep-21,112.4,0.26762,21211,89495
Oct-21,113.4,0.88968,21883,92365
Nov-21,114.1,0.61728,21127,88406
Dec-21,114.7,0.52585,19383,80995
Jan-22,114.6,-0.08718,19809,82799
Feb-22,115.4,0.69808,19308,78716
Mar-22,116.5,0.95321,21506,105844
Apr-22,119,2.14592,19807,84120
May-22,119.7,0.58824,22482,93394
Jun-22,120.5,0.66834,21203,90106
Jul-22,121.2,0.58091,22332,94101
Aug-22,121.8,0.49505,21121,92255
Sep-22,122.3,0.41051,20110,84084
Oct-22,124.3,1.63532,20817,109979
