,Name,Rating,Rating Last Year,Ranking Last Year
1,"Carlsen, Magnus",2856,2862,1
2,"Ding, Liren",2811,2803,2
3,"Nepomniachtchi, Ian",2793,2778,5
4,"Firouzja, Alireza",2785,2793,3
5,"So, Wesley",2774,2773,7
6,"Nakamura, Hikaru",2768,2752,15
7,"Giri, Anish",2764,2767,8
8,"Caruana, Fabiano",2763,2782,4
9,"Anand, Viswanathan",2756,2753,12
10,"Aronian, Levon",2755,2773,6
11,"Rapport, Richard",2754,2763,10
12,"Dominguez Perez, Leinier",2747,2752,14
13,"Mamedyarov, Shakhriyar",2747,2763,9
14,"Vachier-Lagrave, Maxime",2747,2758,11
15,"Karjakin, Sergey",2747,2746,18
16,"Radjabov, Teimour",2747,2751,16
17,"Grischuk, Alexander",2745,2753,13
18,Gukesh D,2732,2657,84
19,"Duda, Jan-Krzysztof",2731,2749,17
20,"Andreikin, Dmitry",2729,2727,22
21,Erigaisi Arjun,2728,2670,67
22,"Le, Quang Liem",2728,2715,26
23,"Topalov, Veselin",2728,2729,20
24,"Wei, Yi",2722,2728,21
25,"Vitiugov, Nikita",2722,2726,23
26,"Wang, Hao",2722,2739,19
27,"Maghsoodloo, Parham",2721,2706,30
28,"Yu, Yangyi",2718,2713,27
29,"Harikrishna, Pentala",2717,2715,25
30,"Vallejo Pons, Francisco",2716,2706,31
31,"Abdusattorov, Nodirbek",2713,2666,71
32,"Shankland, Sam",2712,2712,28
33,"Sargissian, Gabriel",2711,2690,42
34,"Vidit, Santosh Gujrathi",2710,2721,24
35,"Sjugirov, Sanan",2709,2690,43
36,"Dubov, Daniil",2708,2710,29
37,"Deac, Bogdan-Daniel",2707,2684,50
38,"Artemiev, Vladislav",2701,2701,36
39,"Keymer, Vincent",2700,2669,69
40,"Niemann, Hans Moke",2699,2662,76
41,"Bu, Xiangzhi",2698,2705,32
42,"Eljanov, Pavel",2697,2686,47
43,"Tomashevsky, Evgeny",2696,2705,33
44,"Van Foreest, Jorden",2694,2700,37
45,"Wojtaszek, Radoslaw",2693,2697,40
46,"Alekseenko, Kirill",2691,2702,35
47,"Robson, Ray",2690,2681,55
48,"Xiong, Jeffery",2690,2688,45
49,"Cheparinov, Ivan",2689,2678,60
50,"Adams, Michael",2689,2697,38
51,"Fedoseev, Vladimir",2688,2697,39
52,Praggnanandhaa R,2687,2637,114
53,"Nyzhnyk, Illya",2687,2682,53
54,"Moussard, Jules",2686,2651,96
55,"Predke, Alexandr",2684,2684,51
56,"Sevian, Samuel",2684,2687,46
57,"Oparin, Grigoriy",2683,2679,58
58,"Svidler, Peter",2683,2684,52
59,"Jakovenko, Dmitry",2682,,
60,"Santos Latasa, Jaime",2677,2659,81
61,"Almasi, Zoltan",2677,2679,57
62,"Salem, A.R. Saleh",2677,2686,49
63,"Navara, David",2676,2689,44
64,"Martirosyan, Haik M.",2675,2646,101
65,"Kovalenko, Igor",2674,2673,63
66,Nihal Sarin,2673,2657,85
67,"Korobov, Anton",2672,2686,48
68,"Li, Chao b",2672,2678,61
69,"Kasimdzhanov, Rustam",2670,2664,75
70,"Esipenko, Andrey",2668,2703,34
71,"Gelfand, Boris",2668,2669,68
72,"Saric, Ivan",2668,2679,59
73,"Naiditsch, Arkadij",2667,2655,89
74,"Ni, Hua",2667,2668,70
75,"Amin, Bassem",2667,2680,56
76,"Howell, David W L",2667,2652,92
77,"Najer, Evgeniy",2666,2665,73
78,"Kamsky, Gata",2666,2660,78
79,Narayanan.S.L,2663,2659,80
80,"Yakubboev, Nodirbek",2663,2633,124
81,"Matlakov, Maxim",2662,2673,64
82,"Shirov, Alexei",2662,2691,41
83,"Sarana, Alexey",2662,2671,65
84,"Guseinov, Gadir",2661,2664,74
85,"Inarkiev, Ernesto",2661,2660,77
86,"Sargsyan, Shant",2661,2645,103
87,"Ma, Qun",2659,2655,88
88,"Kryvoruchko, Yuriy",2658,2676,62
89,"Tabatabaei, M. Amin",2657,2645,104
90,"Tari, Aryan",2656,2658,83
91,"Anton Guijarro, David",2655,2681,54
92,"Sindarov, Javokhir",2654,2618,163
93,"McShane, Luke J",2653,2652,94
94,"Swiercz, Dariusz",2652,2655,90
95,"Berkes, Ferenc",2651,2659,79
96,"Grandelius, Nils",2651,2658,82
97,"Malakhov, Vladimir",2651,2652,93
98,"Bluebaum, Matthias",2647,2652,91
99,"Bacrot, Etienne",2646,2644,105
100,"Donchenko, Alexander",2646,2630,130
101,"Abasov, Nijat",2646,2635,120
102,"Mamedov, Rauf",2646,2656,86
