,All recorded offences,,,,,Violence Against the Person,,,,,Sexual Offences,,,,,Robbery,,,,,Burglary,,,,,Theft and Handling,,,,,Fraud or Forgery,,,,,Criminal Damage,,,,,Drugs,,,,,Other Notifiable Offences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borough,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,2012-13,2013-14,2014-15,2015-16,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barking and Dagenham,"17,240","16,104","16,235","17,477","14,638","3,761","4,200","5,171","6,097","5,093",258,300,403,413,396,667,526,486,588,429,"2,540","2,006","1,874","1,534","1,046","6,242","5,879","5,186","5,349","4,836",695,30,25,24,16,"1,673","1,647","1,673","1,952","1,571","1,140","1,213","1,089","1,170",934,264,303,328,350,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnet,"25,364","22,724","23,192","24,978","21,549","4,077","4,557","6,080","7,165","6,516",300,356,429,482,464,"1,073",710,539,622,371,"4,806","3,970","3,670","3,878","2,670","10,458","9,670","9,068","9,246","8,528","1,444",45,34,54,27,"1,974","1,965","2,092","2,256","1,846",938,"1,129",905,846,732,294,322,375,429,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexley,"12,335","11,837","12,280","12,644","11,163","2,842","2,772","3,610","4,135","3,856",178,247,278,298,318,242,257,203,170,187,"1,683","1,783","1,405","1,096",892,"4,406","4,248","4,247","4,238","3,706",432,11,6,10,11,"1,545","1,398","1,526","1,610","1,435",801,886,746,703,492,206,235,259,384,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent,"27,260","24,476","25,101","26,128","23,237","6,193","6,410","8,072","8,778","7,858",379,366,489,527,500,"1,454","1,124",853,968,736,"3,706","2,854","2,591","2,717","2,220","8,193","7,778","7,701","8,657","7,784","1,174",34,20,38,29,"2,079","2,047","2,155","2,143","1,926","3,653","3,405","2,724","1,862","1,711",429,458,496,438,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromley,"20,248","19,445","20,434","21,137","17,243","4,100","4,427","5,966","6,673","5,625",239,310,394,413,381,590,539,387,362,322,"3,293","3,066","2,520","2,556","1,769","8,018","7,672","7,537","7,573","6,375",564,13,17,32,28,"2,161","2,047","2,304","2,259","1,836","1,028","1,098",947,859,560,255,273,362,410,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden,"32,840","28,646","28,428","30,185","25,390","5,030","4,638","6,058","7,507","6,463",331,350,478,619,494,"1,064",954,882,"1,013",769,"2,928","3,124","2,903","2,810","2,153","17,767","15,399","13,951","14,256","12,163","1,296",45,42,31,38,"1,780","1,584","1,704","1,946","1,659","2,178","2,100","1,962","1,538","1,212",466,452,448,465,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon,"31,109","28,202","28,804","28,951","25,777","6,521","6,557","8,914","10,084","9,004",474,555,691,743,683,"2,032","1,507",930,718,"1,096","4,122","3,806","3,075","2,630","2,281","11,103","10,499","9,797","9,459","8,053","1,058",22,31,46,31,"2,927","2,837","2,943","3,114","2,794","2,393","2,019","1,877","1,463","1,199",479,400,546,694,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ealing,"30,003","25,886","25,941","27,032","23,684","6,939","6,284","7,891","9,243","7,990",375,481,518,560,475,"1,185",849,608,669,565,"3,926","3,307","2,907","2,473","2,122","11,306","10,398","9,540","9,543","8,715","1,081",46,66,53,44,"2,463","2,300","2,352","2,502","2,142","2,271","1,787","1,557","1,427","1,120",457,434,502,562,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield,"22,521","22,631","22,308","22,942","19,401","4,340","4,764","6,288","6,994","6,265",306,356,475,515,448,"1,083",918,832,907,721,"3,742","3,454","2,953","2,748","2,016","8,572","8,984","7,848","7,848","6,901",872,39,40,34,31,"2,071","2,035","2,107","2,110","1,803","1,215","1,710","1,318","1,337",761,320,371,447,449,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
