Country,Index,"Police Officers per 100,000"
Albania,83,371.4 
Andorra,,304.0 
Armenia,83,456.0 
Austria,84,351.1 
Azerbaijan,81,463.0 
Belarus,74,331.0 
Belgium,84,345.1 
Bosnia and Herzegovina,81,438.0 
Bulgaria,76,412.8 
Croatia,85,499.3 
Cyprus,81,556.5 
Czech Republic,87,376.9 
Denmark,90,192.6 
England,79,212
Estonia,87,300.9 
Finland,91,134.1 
France,85,322.2 
Germany,83,298.2 
Greece,79,509.0 
Hungary,86,391.3 
Iceland,91,177.5 
Ireland,81,293.0 
Italy,83,406.2 
Kosovo,89,485.5 
Latvia,84,422.7 
Liechtenstein,,321.0 
Lithuania,83,286.8 
Luxembourg,80,324.9 
Malta,87,459.7 
Moldova,79,369.0 
Montenegro,77,702.2 
Netherlands,88,291.9 
North Macedonia,81,564.0 
Northern Ireland,79,362
Norway,93,189
Poland,80,259.4 
Portugal,91,445.1 
Romania,78,256.7 
Russia,77,516
Scotland,79,318
Serbia,82,636.0 
Slovakia,85,398.0 
Slovenia,90,343.7 
Spain,89,366.6 
Sweden,88,200.1 
Switzerland,92,217.0 
Turkey,76,527.1 
Wales,79,228.0 
