Date,ASB,Burglary,Robbery,Vehicle,Violent,Shoplifting,CD&A,Other Theft,Drugs,Bike Theft,Theft From the Person,Weapons,Public Order,Total
Jan-14,"18,709","7,919","2,182","7,448","11,790","3,262","4,384","8,842","3,685","1,015","2,997",242,"2,241","75,234"
Feb-14,"17,734","6,766","1,882","6,750","11,116","2,961","4,152","8,458","3,261",950,"2,966",223,"1,999","69,756"
Mar-14,"21,132","6,739","1,885","7,307","13,114","3,432","4,742","9,596","3,992","1,355","3,026",316,"2,504","79,803"
Apr-14,"20,733","5,936","1,720","6,979","12,227","3,350","4,578","8,838","3,556","1,483","2,437",279,"2,465","75,134"
May-14,"22,368","5,814","1,804","7,009","13,539","3,343","4,838","9,290","3,579","1,535","2,459",304,"2,936","79,434"
Jun-14,"24,254","5,363","1,840","6,656","14,700","3,468","4,964","9,671","3,409","1,611","2,321",302,"2,955","82,044"
Jul-14,"28,011","5,687","1,685","6,620","15,434","3,344","4,982","9,887","3,214","1,932","2,213",264,"3,441","87,363"
Aug-14,"22,805","5,892","1,739","6,293","13,974","3,323","4,781","9,193","3,185","1,802","2,365",319,"2,982","79,292"
Sep-14,"22,358","5,764","1,746","6,761","14,638","3,287","4,874","9,306","2,829","1,812","2,254",295,"3,547","80,141"
Oct-14,"21,549","6,486","1,943","7,319","15,214","3,627","5,262","9,562","3,261","1,786","2,497",300,"3,496","82,977"
Nov-14,"18,579","6,857","1,893","6,843","15,292","3,549","5,026","9,419","3,301","1,297","2,929",249,"3,142","79,053"
Dec-14,"15,152","6,795","1,856","6,415","14,616","3,572","4,824","9,347","2,792",994,"3,260",236,"3,012","73,525"
Jan-15,"14,642","6,492","1,813","7,010","14,581","3,402","4,667","8,838","3,277",974,"3,024",272,"2,890","72,552"
Feb-15,"14,374","5,935","1,642","6,013","13,765","3,333","4,450","8,422","2,912",978,"2,756",256,"2,929","68,435"
Mar-15,"16,819","6,329","1,854","7,001","15,761","3,772","5,159","9,722","2,807","1,270","2,980",314,"3,322","77,882"
Apr-15,"18,340","5,408","1,773","6,581","13,612","3,744","5,099","8,582","2,636","1,441","3,066",288,"3,320","74,586"
May-15,"19,725","5,558","1,887","7,018","15,134","3,693","5,362","9,378","2,689","1,686","3,244",285,"3,528","79,906"
Jun-15,"21,491","5,274","1,708","7,273","16,665","3,566","5,289","9,515","2,815","1,728","2,721",319,"3,741","82,852"
Jul-15,"23,423","5,387","1,773","6,642","17,526","3,491","5,430","9,981","2,955","1,798","2,683",317,"3,820","85,992"
Aug-15,"21,935","5,362","1,776","6,470","16,252","3,484","4,959","9,049","3,004","1,500","2,401",333,"3,583","80,819"
Sep-15,"17,919","5,402","1,728","6,615","16,063","3,293","4,730","9,053","2,932","1,481","2,501",307,"3,629","76,470"
Oct-15,"20,623","5,911","1,799","7,092","17,506","3,765","5,190","9,603","3,157","1,529","2,815",361,"3,713","83,911"
Nov-15,"17,536","6,752","1,864","7,467","17,093","3,712","5,245","9,453","2,813","1,309","3,093",342,"3,706","81,159"
Dec-15,"15,593","6,417","1,758","6,940","16,995","3,719","5,222","9,395","2,603","1,004","3,242",262,"3,536","77,412"
Jan-16,"14,555","6,259","1,804","6,794","16,435","3,636","4,880","8,316","3,319",984,"2,808",320,"3,253","74,136"
Feb-16,"15,053","5,818","1,635","6,415","15,725","3,824","4,810","8,319","2,958","1,012","2,710",280,"3,248","72,581"
Mar-16,"16,275","5,769","1,696","7,004","16,813","4,040","4,921","8,325","2,877","1,164","2,777",300,"3,555","76,315"
Apr-16,"17,394","5,275","1,555","6,819","16,354","4,180","4,988","8,591","2,949","1,340","2,487",326,"3,433","76,539"
May-16,"21,372","5,412","1,770","7,805","18,144","4,396","5,796","9,145","2,846","1,699","2,748",397,"3,913","86,398"
Jun-16,"21,891","5,340","1,867","7,493","17,606","4,016","5,176","8,972","2,678","1,604","3,103",479,"4,125","85,208"
Jul-16,"26,218","5,422","1,948","7,571","18,317","4,000","5,651","9,616","2,986","1,950","3,153",453,"4,843","93,025"
Aug-16,"25,660","5,420","1,889","7,453","16,848","3,830","5,475","9,539","3,016","1,881","2,964",445,"4,152","89,412"
Sep-16,"22,303","5,291","1,919","7,732","16,717","3,727","5,048","9,017","2,682","2,118","2,795",405,"3,901","84,469"
Oct-16,"22,726","5,508","2,032","8,359","17,075","3,903","5,291","9,580","2,840","2,013","2,914",407,"3,867","87,374"
Nov-16,"18,843","6,112","1,969","8,024","16,319","3,849","4,967","8,959","2,549","1,592","3,362",348,"3,485","81,205"
Dec-16,"17,527","6,632","2,224","7,843","16,867","4,037","5,159","9,226","2,408","1,144","3,931",326,"3,493","81,609"
Jan-17,"17,030","6,601","2,016","7,837","15,988","3,806","4,884","8,389","2,600","1,159","3,217",398,"3,225","77,977"
Feb-17,"15,718","6,118","1,895","7,487","15,679","3,952","4,815","8,299","2,231","1,112","3,267",412,"3,306","75,030"
Mar-17,"19,108","6,337","2,494","8,941","18,567","4,316","5,287","9,334","2,862","1,591","4,289",548,"4,069","88,631"
Apr-17,"19,966","5,634","2,389","8,218","16,359","3,772","4,937","8,301","2,404","1,685","3,630",504,"3,556","82,054"
May-17,"20,521","5,815","2,423","9,179","18,803","4,331","5,451","9,476","2,701","1,911","4,073",639,"4,255","90,408"
Jun-17,"19,500","5,720","2,445","8,367","19,297","3,776","5,300","8,986","2,421","2,301","4,011",603,"4,899","88,426"
Jul-17,"23,035","6,229","2,889","8,619","19,594","4,101","5,411","9,582","2,843","2,499","4,406",618,"4,862","95,569"
Aug-17,"22,227","6,257","2,669","8,605","17,424","4,299","5,148","9,470","3,071","2,286","4,135",650,"4,118","91,270"
Sep-17,"18,479","6,052","2,707","8,880","17,583","3,940","4,910","8,880","2,821","2,248","3,619",555,"3,912","85,458"
Oct-17,"20,408","6,675","2,995","9,212","18,860","3,934","5,357","9,185","3,125","1,965","3,994",623,"4,309","91,571"
Nov-17,"16,600","7,335","3,098","9,230","18,175","4,070","5,166","9,327","2,917","1,659","4,469",582,"3,906","87,442"
Dec-17,"15,210","6,968","2,789","8,513","17,283","3,547","4,721","9,072","2,415",989,"4,197",459,"3,303","80,240"
Jan-18,"16,103","7,630","2,823","9,418","17,494","3,948","4,890","9,018","2,880","1,163","3,577",581,"3,477","83,897"
Feb-18,"14,109","6,603","2,434","8,735","15,859","3,670","4,239","8,371","2,609","1,029","3,322",501,"3,318","75,572"
Mar-18,"16,179","6,373","2,565","8,914","18,346","3,809","4,572","8,929","2,568","1,034","3,624",567,"3,933","82,303"
Apr-18,"19,936","6,369","2,500","8,887","17,806","3,925","4,754","8,955","2,765","1,350","3,332",566,"3,959","85,919"
May-18,"18,676","6,388","2,569","8,838","20,206","3,968","4,993","9,661","2,790","1,817","3,135",642,"4,329","88,946"
Jun-18,"19,410","6,111","2,828","8,973","20,195","3,745","4,836","9,192","2,456","1,916","3,635",586,"4,293","89,038"
Jul-18,"21,345","6,320","2,917","9,044","21,808","3,605","5,011","10,365","2,399","2,347","3,720",587,"4,881","95,238"
Aug-18,"19,989","6,541","2,487","9,193","18,403","3,659","4,557","9,678","3,102","2,101","3,289",535,"3,877","88,259"
Sep-18,"17,844","6,096","2,594","9,753","18,621","3,487","4,462","9,677","2,784","2,227","2,952",533,"3,968","85,880"
Oct-18,"22,416","7,145","2,874","10,452","19,219","3,834","4,862","10,635","2,906","2,185","3,761",507,"4,029","95,702"
Nov-18,"17,978","7,883","2,982","10,436","18,736","3,729","4,747","10,702","3,047","1,548","4,372",552,"3,860","91,460"
Dec-18,"16,578","7,153","2,951","9,553","18,476","3,344","4,695","10,720","2,987","1,082","4,437",528,"3,635","86,889"
Jan-19,"16,969","7,479","2,915","10,822","18,176","3,486","4,563","10,719","3,224","1,275","3,811",550,"3,445","88,245"
Feb-19,"16,905","6,679","2,953","9,613","17,437","3,514","4,380","10,688","3,175","1,204","4,754",545,"3,588","86,244"
Mar-19,"18,961","7,228","3,164","10,709","19,608","3,805","4,978","11,431","4,013","1,477","5,070",728,"4,329","96,446"
Apr-19,"19,549","6,285","3,347","9,506","18,067","3,548","4,539","11,283","3,388","1,641","4,727",514,"3,958","91,177"
May-19,"20,989","6,364","3,238","9,512","19,451","3,976","4,780","11,382","3,522","1,929","4,173",582,"4,376","95,203"
Jun-19,"22,156","6,311","3,109","9,547","19,805","3,800","4,559","10,765","3,739","1,942","4,369",513,"4,433","95,928"
Jul-19,"25,824","6,149","3,277","8,351","20,661","3,498","4,369","10,159","4,187","2,077","4,296",527,"4,904","99,140"
Aug-19,"23,673","5,876","2,865","8,306","18,401","3,546","4,032","9,124","4,329","1,740","3,736",531,"4,289","91,246"
Sep-19,"20,023","6,226","3,141","9,004","18,638","3,387","4,014","8,400","3,718","1,630","3,283",499,"4,101","86,917"
Oct-19,"20,569","7,125","3,578","10,791","19,143","3,860","4,498","10,393","3,681","1,620","5,058",510,"4,364","96,051"
Nov-19,"18,532","6,929","3,672","10,180","18,872","3,860","4,199","9,995","3,651","1,254","4,679",488,"4,053","91,211"
Dec-19,"16,981","6,629","3,173","10,277","18,080","3,466","4,201","9,909","3,179",944,"4,385",465,"3,806","86,299"
Jan-20,"17,646","6,896","3,240","11,923","18,416","3,896","4,362","9,559","4,318","1,198","4,266",563,"4,026","91,153"
Feb-20,"17,052","6,218","3,127","10,310","17,860","3,907","4,218","9,842","3,808","1,067","4,570",452,"3,833","87,024"
Mar-20,"23,063","5,367","2,689","9,435","18,294","3,039","4,355","7,566","3,672","1,088","3,381",484,"3,948","87,215"
Apr-20,"62,763","3,671","1,091","6,300","15,612","1,730","3,483","3,883","4,964","1,060",684,460,"3,457","109,917"
May-20,"58,534","3,892","1,284","7,216","18,032","1,969","3,906","4,432","6,408","1,774",799,529,"4,223","113,824"
Jun-20,"39,611","4,311","1,691","8,057","19,531","2,440","4,341","5,357","4,661","2,573","1,189",464,"4,947","100,056"
Jul-20,"35,634","4,919","2,154","8,760","20,878","3,151","4,678","6,954","4,568","2,847","2,086",455,"5,569","103,547"
